Hamming,Trial,J0,J_K,Delta_J,Recovered
1,40,1000000000.00000,1000000000.00000,999999882.71206,False
1,41,35.28948,188.93585,0.00000,False
1,42,145.62154,1000000000.00000,106.46229,False
1,43,1000000000.00000,1000000000.00000,999999911.95532,False
1,44,185.63445,195.71248,73.21322,False
1,45,90.77927,1000000000.00000,19.27145,False
1,46,1000000000.00000,1000000000.00000,999999966.91812,False
1,47,1000000000.00000,1000000000.00000,999999831.52666,False
1,48,1000000000.00000,1000000000.00000,999999964.71052,False
1,49,1000000000.00000,171.32048,999999861.11185,False
1,50,145.62154,1000000000.00000,145.58654,True
1,51,182.71446,1000000000.00000,182.67446,True
1,52,1000000000.00000,170.01437,999999852.05476,False
1,53,1000000000.00000,1000000000.00000,999999889.27027,False
1,54,90.77927,1000000000.00000,25.51385,False
1,55,1000000000.00000,1000000000.00000,999999820.74312,False
1,56,1000000000.00000,1000000000.00000,999999855.05901,False
1,57,1000000000.00000,1000000000.00000,999999966.91812,False
1,58,1000000000.00000,1000000000.00000,999999871.67398,False
1,59,74.85646,1000000000.00000,39.56698,False
1,60,1000000000.00000,1000000000.00000,999999887.39279,False
1,61,182.71446,1000000000.00000,182.67946,True
1,62,61.22753,1000000000.00000,61.19253,True
1,63,1000000000.00000,181.26837,999999862.79346,False
1,64,1000000000.00000,1000000000.00000,999999886.97225,False
1,65,184.60466,1000000000.00000,184.56966,True
1,66,227.61835,1000000000.00000,187.96404,False
1,67,227.61835,1000000000.00000,227.58335,True
1,68,1000000000.00000,1000000000.00000,999999890.75863,False
1,69,1000000000.00000,1000000000.00000,999999968.54779,False
1,70,1000000000.00000,1000000000.00000,999999945.90625,False
1,71,1000000000.00000,1000000000.00000,999999830.60297,False
1,72,74.85646,1000000000.00000,39.56698,False
1,73,1000000000.00000,172.90173,999999908.98389,False
1,74,1000000000.00000,1000000000.00000,999999999.96000,True
1,75,1000000000.00000,167.04308,999999895.03194,False
1,76,1000000000.00000,162.63914,999999966.91812,False
1,77,72.37436,1000000000.00000,72.33936,True
1,78,1000000000.00000,1000000000.00000,999999915.84823,False
1,79,1000000000.00000,1000000000.00000,999999999.96500,True
1,80,1000000000.00000,176.46092,999999842.94273,False
1,81,1000000000.00000,1000000000.00000,999999909.21073,False
1,82,669.16571,1000000000.00000,633.87623,False
1,83,268.34897,1000000000.00000,178.25368,False
1,84,134.50160,1000000000.00000,43.72233,False
1,85,1000000000.00000,1000000000.00000,999999999.96500,True
1,86,1000000000.00000,1000000000.00000,999999964.71052,False
1,87,1000000000.00000,1000000000.00000,999999945.90625,False
1,88,124.91735,168.64258,124.87235,True
1,89,165.27011,1000000000.00000,132.18823,False
1,90,1000000000.00000,1000000000.00000,999999908.02906,False
1,91,1000000000.00000,1000000000.00000,999999865.57730,False
1,92,1000000000.00000,1000000000.00000,999999914.56897,False
1,93,1000000000.00000,1000000000.00000,999999964.71052,False
1,94,1000000000.00000,1000000000.00000,999999927.21567,False
1,95,1000000000.00000,1000000000.00000,999999875.08265,False
1,96,227.61835,196.95285,227.58335,True
1,97,1000000000.00000,177.65750,999999890.77573,False
1,98,1000000000.00000,1000000000.00000,999999945.76762,False
1,99,130.94420,1000000000.00000,130.90920,True
2,0,1000000000.00000,1000000000.00000,999999861.00639,False
2,1,148.30679,1000000000.00000,113.01731,False
2,2,1000000000.00000,1000000000.00000,999999871.65398,False
2,3,1000000000.00000,1000000000.00000,999999929.12708,False
2,4,1000000000.00000,1000000000.00000,999999856.39856,False
2,5,1000000000.00000,1000000000.00000,999999918.18259,False
2,6,1000000000.00000,142.36011,999999964.70552,False
2,7,1000000000.00000,1000000000.00000,999999847.44319,False
2,8,1000000000.00000,182.99477,999999936.11556,False
2,9,1000000000.00000,1000000000.00000,999999913.54314,False
2,10,145.62154,1000000000.00000,61.39598,False
2,11,1000000000.00000,1000000000.00000,999999885.25374,False
2,12,1000000000.00000,1000000000.00000,999999915.83323,False
2,13,1000000000.00000,1000000000.00000,999999842.97272,False
2,14,1000000000.00000,168.70270,999999870.90794,False
2,15,1000000000.00000,1000000000.00000,999999948.35914,False
2,16,1000000000.00000,1000000000.00000,999999854.39847,False
2,17,1000000000.00000,1000000000.00000,999999871.66898,False
2,18,1000000000.00000,1000000000.00000,999999936.63045,False
2,19,164.31589,1000000000.00000,83.80135,False
2,20,1000000000.00000,1000000000.00000,999999905.20278,False
2,21,1000000000.00000,1000000000.00000,999999873.86804,False
2,22,1000000000.00000,1000000000.00000,999999842.15628,False
2,23,1000000000.00000,1000000000.00000,999999836.71693,False
2,24,1000000000.00000,1000000000.00000,999999859.57802,False
2,25,1000000000.00000,1000000000.00000,999999877.63876,False
2,26,1000000000.00000,1000000000.00000,999999871.64899,False
2,27,1000000000.00000,1000000000.00000,999999964.71052,False
2,28,106.37602,1000000000.00000,73.28914,False
2,29,1000000000.00000,1000000000.00000,999999915.85779,False
2,30,1000000000.00000,1000000000.00000,999999890.75362,False
2,31,1000000000.00000,134.97684,999999920.17029,False
2,32,187.86893,1000000000.00000,187.83393,True
2,33,1000000000.00000,172.84686,999999882.48329,False
2,34,1000000000.00000,1000000000.00000,999999854.39847,False
2,35,1000000000.00000,190.98952,999999854.39847,False
2,36,1000000000.00000,1000000000.00000,999999878.39067,False
2,37,1000000000.00000,1000000000.00000,999999866.88043,False
2,38,1000000000.00000,1000000000.00000,999999904.94936,False
2,39,1000000000.00000,168.71172,999999877.31705,False
2,40,1000000000.00000,1000000000.00000,999999865.25571,False
2,41,1000000000.00000,1000000000.00000,999999968.97447,False
2,42,1000000000.00000,1000000000.00000,999999936.57454,False
2,43,1000000000.00000,1000000000.00000,999999871.68611,False
2,44,1000000000.00000,1000000000.00000,999999842.95273,False
2,45,1000000000.00000,1000000000.00000,999999964.71052,False
2,46,1000000000.00000,1000000000.00000,999999967.71395,False
2,47,1000000000.00000,1000000000.00000,999999966.05909,False
2,48,1000000000.00000,1000000000.00000,999999999.96500,True
2,49,1000000000.00000,1000000000.00000,999999841.40024,False
2,50,1000000000.00000,1000000000.00000,999999858.11618,False
2,51,1000000000.00000,1000000000.00000,999999854.55936,False
2,52,1000000000.00000,184.30457,999999937.14966,False
2,53,1000000000.00000,145.60654,999999921.97064,False
2,54,1000000000.00000,1000000000.00000,999999936.36950,False
2,55,1000000000.00000,1000000000.00000,999999874.33884,False
2,56,1000000000.00000,1000000000.00000,999999892.57053,False
2,57,179.80783,1000000000.00000,45.30623,False
2,58,1000000000.00000,1000000000.00000,999999885.90151,False
2,59,1000000000.00000,1000000000.00000,999999914.56396,False
2,60,1000000000.00000,1000000000.00000,999999933.41183,False
2,61,193.12686,1000000000.00000,106.67500,False
2,62,1000000000.00000,1000000000.00000,999999900.40312,False
2,63,1000000000.00000,1000000000.00000,999999881.47765,False
2,64,1000000000.00000,1000000000.00000,999999902.95502,False
2,65,10029.73828,1000000000.00000,9905.48208,False
2,66,1000000000.00000,1000000000.00000,999999999.96500,True
2,67,1000000000.00000,1000000000.00000,999999915.30666,False
2,68,96150.99219,1000000000.00000,96041.58582,False
2,69,1000000000.00000,1000000000.00000,999999877.56231,False
2,70,1000000000.00000,1000000000.00000,999999886.39332,False
2,71,1000000000.00000,1000000000.00000,999999926.72096,False
2,72,1000000000.00000,1000000000.00000,999999878.87476,False
2,73,189.19110,1000000000.00000,54.43681,False
2,74,1000000000.00000,165.34286,999999874.83132,False
2,75,1000000000.00000,167.04308,999999895.03194,False
2,76,11064.38770,1000000000.00000,11030.72436,False
2,77,1000000000.00000,1000000000.00000,999999967.06858,False
2,78,1000000000.00000,1000000000.00000,999999885.24874,False
2,79,1000000000.00000,191.03979,999999854.66267,False
2,80,1000000000.00000,177.03548,999999902.47106,False
2,81,1000000000.00000,1000000000.00000,999999889.78938,False
2,82,1000000000.00000,1000000000.00000,999999873.33292,False
2,83,1000000000.00000,1000000000.00000,999999926.32896,False
2,84,1000000000.00000,1000000000.00000,999999937.16457,False
2,85,1000000000.00000,1000000000.00000,999999860.48155,False
2,86,1000000000.00000,1000000000.00000,999999915.84323,False
2,87,1000000000.00000,1000000000.00000,999999886.50557,False
2,88,1000000000.00000,1000000000.00000,999999936.11056,False
2,89,1000000000.00000,1000000000.00000,999999915.85279,False
2,90,190.34763,1000000000.00000,82.07267,False
2,91,165.27011,1000000000.00000,132.18323,False
2,92,1000000000.00000,1000000000.00000,999999929.82136,False
2,93,1000000000.00000,1000000000.00000,999999964.70552,False
2,94,1000000000.00000,177.75294,999999865.50841,False
2,95,1000000000.00000,1000000000.00000,999999902.13260,False
2,96,1000000000.00000,1000000000.00000,999999915.84823,False
2,97,1000000000.00000,1000000000.00000,999999891.72504,False
2,98,1000000000.00000,1000000000.00000,999999890.77074,False
2,99,189.65575,1000000000.00000,106.58759,False
3,0,1000000000.00000,1000000000.00000,999999966.05409,False
3,1,1000000000.00000,1000000000.00000,999999937.17763,False
3,2,1000000000.00000,1000000000.00000,999999936.10555,False
3,3,1000000000.00000,1000000000.00000,999999936.08694,False
3,4,1000000000.00000,168.44951,999999886.73071,False
3,5,1000000000.00000,1000000000.00000,999999915.84823,False
3,6,1000000000.00000,1000000000.00000,999999830.43326,False
3,7,1000000000.00000,176.99440,999999863.39647,False
3,8,1000000000.00000,1000000000.00000,999999999.96500,True
3,9,1000000000.00000,1000000000.00000,999999912.10468,False
3,10,1000000000.00000,172.46347,999999885.90151,False
3,11,1000000000.00000,1000000000.00000,999999878.86976,False
3,12,1000000000.00000,1000000000.00000,999999921.00203,False
3,13,1000000000.00000,1000000000.00000,999999963.71955,False
3,14,1000000000.00000,1000000000.00000,0.00000,False
3,15,1000000000.00000,1000000000.00000,999999871.29274,False
3,16,1000000000.00000,1000000000.00000,999999941.26188,False
3,17,1000000000.00000,1000000000.00000,999999869.13620,False
3,18,1000000000.00000,1000000000.00000,999999915.84823,False
3,19,1000000000.00000,1000000000.00000,999999915.85779,False
3,20,1000000000.00000,189.46948,999999964.70052,False
3,21,194.12761,1000000000.00000,39.09430,False
3,22,1000000000.00000,186.62250,999999868.26012,False
3,23,1000000000.00000,1000000000.00000,999999928.49218,False
3,24,1000000000.00000,184.04282,999999882.21578,False
3,25,1000000000.00000,1000000000.00000,999999889.46735,False
3,26,1000000000.00000,1000000000.00000,999999915.84779,False
3,27,1000000000.00000,1000000000.00000,999999859.54260,False
3,28,1000000000.00000,1000000000.00000,999999826.01242,False
3,29,1000000000.00000,161.95563,999999887.57877,False
3,30,1000000000.00000,1000000000.00000,999999854.37846,False
3,31,1000000000.00000,1000000000.00000,999999915.33038,False
3,32,52730.46094,174.55769,52602.11491,False
3,33,1000000000.00000,175.01938,999999866.00870,False
3,34,1000000000.00000,1000000000.00000,999999882.22811,False
3,35,1000000000.00000,1000000000.00000,999999840.31351,False
3,36,1000000000.00000,1000000000.00000,999999964.72466,False
3,37,1000000000.00000,169.92474,999999844.00070,False
3,38,1000000000.00000,1000000000.00000,999999832.96193,False
3,39,1000000000.00000,1000000000.00000,999999854.37846,False
3,40,1000000000.00000,1000000000.00000,999999851.56847,False
3,41,1000000000.00000,1000000000.00000,999999854.55936,False
3,42,1000000000.00000,1000000000.00000,999999937.15418,False
3,43,1000000000.00000,1000000000.00000,999999885.60551,False
3,44,1000000000.00000,1000000000.00000,999999835.72720,False
3,45,1000000000.00000,1000000000.00000,999999915.84823,False
3,46,1000000000.00000,1000000000.00000,999999872.52919,False
3,47,1000000000.00000,1000000000.00000,999999854.36847,False
3,48,1000000000.00000,1000000000.00000,999999891.87269,False
3,49,1000000000.00000,1000000000.00000,999999865.45609,False
3,50,1000000000.00000,1000000000.00000,999999871.67398,False
3,51,1000000000.00000,1000000000.00000,999999871.06999,False
3,52,1000000000.00000,1000000000.00000,999999895.02898,False
3,53,1000000000.00000,1000000000.00000,999999860.49973,False
3,54,1000000000.00000,1000000000.00000,999999882.21628,False
3,55,1000000000.00000,1000000000.00000,999999876.81444,False
3,56,1000000000.00000,169.91975,999999966.82199,False
3,57,1000000000.00000,1000000000.00000,999999854.35416,False
3,58,1000000000.00000,1000000000.00000,999999865.03333,False
3,59,227.06783,1000000000.00000,126.98605,False
3,60,1000000000.00000,1000000000.00000,999999865.25070,False
3,61,1000000000.00000,169.83606,999999839.42120,False
3,62,1000000000.00000,176.55176,999999871.67398,False
3,63,1000000000.00000,181.26837,999999862.79346,False
3,64,1000000000.00000,1000000000.00000,999999857.60077,False
3,65,1000000000.00000,1000000000.00000,999999857.01877,False
3,66,1000000000.00000,1000000000.00000,999999889.78439,False
3,67,1000000000.00000,1000000000.00000,999999871.67398,False
3,68,1000000000.00000,1000000000.00000,999999999.96500,True
3,69,1000000000.00000,1000000000.00000,999999854.37347,False
3,70,1000000000.00000,1000000000.00000,999999963.86348,False
3,71,1000000000.00000,1000000000.00000,999999830.60297,False
3,72,1000000000.00000,1000000000.00000,999999909.89472,False
3,73,1000000000.00000,1000000000.00000,999999877.55730,False
3,74,1000000000.00000,1000000000.00000,999999915.84823,False
3,75,1000000000.00000,1000000000.00000,999999890.76363,False
3,76,1000000000.00000,178.96599,999999867.93062,False
3,77,1000000000.00000,1000000000.00000,999999886.62638,False
3,78,1000000000.00000,1000000000.00000,999999871.65398,False
3,79,1000000000.00000,1000000000.00000,999999915.82823,False
3,80,1000000000.00000,1000000000.00000,999999915.82823,False
3,81,1000000000.00000,1000000000.00000,999999869.88020,False
3,82,1000000000.00000,1000000000.00000,999999913.54129,False
3,83,1000000000.00000,182.98477,999999937.20518,False
3,84,1000000000.00000,1000000000.00000,999999877.80197,False
3,85,1000000000.00000,188.28506,999999861.13185,False
3,86,1000000000.00000,1000000000.00000,999999964.72052,False
3,87,1000000000.00000,1000000000.00000,999999891.72504,False
3,88,1000000000.00000,1000000000.00000,999999861.14980,False
3,89,1000000000.00000,1000000000.00000,999999915.76944,False
3,90,1000000000.00000,1000000000.00000,999999856.75107,False
3,91,1000000000.00000,1000000000.00000,999999915.85779,False
3,92,1000000000.00000,1000000000.00000,999999859.65584,False
3,93,1000000000.00000,1000000000.00000,999999915.86100,False
3,94,1000000000.00000,1000000000.00000,999999854.55936,False
3,95,1000000000.00000,1000000000.00000,999999880.15720,False
3,96,1000000000.00000,1000000000.00000,999999854.70668,False
3,97,1000000000.00000,179.97577,999999913.51664,False
3,98,1000000000.00000,169.91975,999999852.71297,False
3,99,1000000000.00000,1000000000.00000,999999963.86848,False
